RÃ³tulo;# Amostras;Média;Min.;Max.;Desvio Padrão;% de Erro;Vazão;KB/s;Sent KB/sec;Média de Bytes
http://52.203.70.101:8080/usuarios/autenticacao;5;327;320;332;4,08;0,00%;4,41696;2,43;1,54;563
http://52.203.70.101:8080/pets/userPreferences/9/20;255;250;202;346;29,79;0,00%;9,35025;72,05;2,38;7890,4
http://52.203.70.101:8080/pets/doentes/8;255;258;211;448;34,83;0,00%;9,34237;28,06;2,28;3076
http://52.203.70.101:8080/pets/sexo;10;169;162;178;4,59;0,00%;3,09693;0,85;0,74;280
http://52.203.70.101:8080/pets/porte;10;168;160;176;4,57;0,00%;3,09119;0,88;0,74;290
http://52.203.70.101:8080/pets/doente;10;166;164;170;1,68;0,00%;3,08166;0,84;0,74;278
http://52.203.70.101:8080/pets/especie;10;169;163;175;4,09;0,00%;3,07882;0,84;0,75;281
http://52.203.70.101:8080/pets/caracteristicas;10;167;164;177;3,72;0,00%;3,07598;2,24;0,77;747
http://52.203.70.101:8080/pets/userPreferences/9/999;15;477;332;622;99,99;0,00%;3,65319;97,78;0,93;27409
http://52.203.70.101:8080/pets/filter;5;210;191;262;26,21;0,00%;2,4108;32,43;0,91;13773
Test;5;29645;28401;30642;717,43;0,00%;0,16077;103,56;4,72;659603
TOTAL;590;502;160;30642;2695,69;0,00%;18,96984;207,11;9,44;11179,7
