timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,66975E+12;1888;Consultar Demandas;200;;Consultas 2-85;text;true;;129405;161;200;201;http://52.203.70.101:8080/demandas;1406;0;160
1,66975E+12;2125;Consultar Demandas;200;;Consultas 2-153;text;true;;129405;161;200;201;http://52.203.70.101:8080/demandas;1647;0;161
1,66975E+12;2227;Consultar Demandas;200;;Consultas 2-174;text;true;;129405;161;200;201;http://52.203.70.101:8080/demandas;1733;0;166
1,66975E+12;2222;Consultar Demandas;200;;Consultas 2-175;text;true;;129405;161;200;201;http://52.203.70.101:8080/demandas;1728;0;161
1,66975E+12;2212;Consultar Demandas;200;;Consultas 2-178;text;true;;129405;161;200;201;http://52.203.70.101:8080/demandas;1726;0;151
1,66975E+12;2770;Consultar Demandas;200;;Consultas 2-179;text;true;;129405;161;200;201;http://52.203.70.101:8080/demandas;2297;0;154
1,66975E+12;3758;Status;200;;Grupo de Usuários 1-1;text;true;;86274;161;1;201;http://52.203.70.101:8080/usuarios;3434;0;161
1,66975E+12;2905;Consultar Demandas;200;;Consultas 2-182;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;2426;0;156
1,66975E+12;3416;Consultar Demandas;200;;Consultas 2-186;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;2928;0;157
1,66975E+12;4044;Consultar Demandas;200;;Consultas 2-194;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;3561;0;153
1,66975E+12;5039;Consultar Demandas;200;;Consultas 2-2;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;4553;0;159
1,66975E+12;4347;Consultar Demandas;200;;Consultas 2-192;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;3868;0;159
1,66975E+12;3078;Consultar Pets;200;;Consultas 2-85;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;2922;0;0
1,66975E+12;5486;Consultar Demandas;200;;Consultas 2-4;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;5007;0;160
1,66975E+12;5535;Consultar Demandas;200;;Consultas 2-5;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;5054;0;163
1,66975E+12;4669;Consultar Demandas;200;;Consultas 2-195;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;4187;0;166
1,66975E+12;5760;Consultar Demandas;200;;Consultas 2-6;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;5278;0;161
1,66975E+12;4840;Consultar Demandas;200;;Consultas 2-199;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;4368;0;147
1,66975E+12;4884;Consultar Demandas;200;;Consultas 2-200;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;4407;0;159
1,66975E+12;4907;Consultar Demandas;200;;Consultas 2-197;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;4422;0;157
1,66975E+12;2834;Consultar Pets;200;;Consultas 2-175;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;2681;0;0
1,66975E+12;1125;Consultar Pets;200;;Consultas 2-194;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1124;0;0
1,66975E+12;1087;Consultar Pets;200;;Consultas 2-192;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1084;0;0
1,66975E+12;6492;Consultar Demandas;200;;Consultas 2-13;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;6014;0;158
1,66975E+12;6895;Consultar Demandas;200;;Consultas 2-11;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;6418;0;163
1,66975E+12;1438;Consultar Pets;200;;Consultas 2-5;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1282;0;0
1,66975E+12;7007;Consultar Demandas;200;;Consultas 2-16;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;6532;0;158
1,66975E+12;957;Consultar Instituições;200;;Consultas 2-194;text;true;;6482;165;200;200;http://52.203.70.101:8080/instituicoes;957;0;0
1,66975E+12;7031;Consultar Demandas;200;;Consultas 2-15;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;6543;0;162
1,66975E+12;7122;Consultar Demandas;200;;Consultas 2-17;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;6656;0;160
1,66975E+12;1603;Consultar Pets;200;;Consultas 2-6;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1441;0;0
1,66975E+12;7311;Consultar Demandas;200;;Consultas 2-18;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;6829;0;161
1,66975E+12;7345;Consultar Demandas;200;;Consultas 2-20;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;6867;0;160
1,66975E+12;7424;Consultar Demandas;200;;Consultas 2-23;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;6940;0;162
1,66975E+12;1750;Consultar Pets;200;;Consultas 2-200;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1584;0;0
1,66975E+12;632;Consultar Instituições;200;;Consultas 2-6;text;true;;6482;165;200;200;http://52.203.70.101:8080/instituicoes;632;0;0
1,66975E+12;1006;Consultar Pets;200;;Consultas 2-16;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;857;0;0
1,66975E+12;8014;Consultar Demandas;200;;Consultas 2-22;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;7516;0;165
1,66975E+12;8130;Consultar Demandas;200;;Consultas 2-26;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;7635;0;162
1,66975E+12;1216;Consultar usuarios;200;;Consultas 2-194;text;true;;86274;161;200;200;http://52.203.70.101:8080/usuarios;895;0;0
1,66975E+12;787;Consultar Instituições;200;;Consultas 2-200;text;true;;6482;165;200;200;http://52.203.70.101:8080/instituicoes;787;0;0
1,66975E+12;8505;Consultar Demandas;200;;Consultas 2-27;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8013;0;162
1,66975E+12;8517;Consultar Demandas;200;;Consultas 2-29;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8040;0;161
1,66975E+12;1581;Consultar Pets;200;;Consultas 2-15;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1426;0;0
1,66975E+12;8572;Consultar Demandas;200;;Consultas 2-30;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8091;0;168
1,66975E+12;8850;Consultar Demandas;200;;Consultas 2-32;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8361;0;160
1,66975E+12;1491;Consultar Pets;200;;Consultas 2-23;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1319;0;0
1,66975E+12;8878;Consultar Demandas;200;;Consultas 2-33;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8373;0;158
1,66975E+12;8942;Consultar Demandas;200;;Consultas 2-37;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8445;0;152
